Ticker,Name,Sector,Industry,MarketCap,CapBucket
ADAMM,"Adamas Trust, Inc. - 7.875% Ser",Real Estate,REIT - Mortgage,,Unknown
ADAMN,"Adamas Trust, Inc. - 8.00% Seri",Real Estate,REIT - Mortgage,,Unknown
ADAMZ,"Adamas Trust, Inc. - 7.000% Ser",Real Estate,REIT - Mortgage,,Unknown
ADBE,Adobe Inc.,Technology,Software - Application,150081961984.0,Large
ADBG,Leverage Shares 2X Long ADBE Da,,,,Unknown
ADEA,Adeia Inc.,Technology,Software - Application,1855102720.0,Small
ADGM,"Adagio Medical Holdings, Inc",Healthcare,Medical Devices,22026820.0,Micro
ADI,"Analog Devices, Inc.",Technology,Semiconductors,135555842048.0,Large
ADIL,"Adial Pharmaceuticals, Inc",Healthcare,Biotechnology,6196029.0,Micro
ADMA,ADMA Biologics Inc,Healthcare,Biotechnology,4600800256.0,Mid
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,104853364736.0,Large
ADPT,Adaptive Biotechnologies Corpor,Healthcare,Biotechnology,2549508608.0,Mid
ADSE,ADS-TEC ENERGY PLC,Industrials,Electrical Equipment & Parts,752132928.0,Small
ADSEW,ADS-TEC ENERGY PLC Warrant,,,,Unknown
ADSK,"Autodesk, Inc.",Technology,Software - Application,64051228672.0,Large
ADTN,"ADTRAN Holdings, Inc.",Technology,Communication Equipment,701014912.0,Small
ADTX,"Aditxt, Inc.",Healthcare,Biotechnology,1989145.0,Micro
ADUR,Aduro Clean Technologies Inc.,Industrials,Pollution & Treatment Controls,375953088.0,Small
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,2036117248.0,Mid
ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,290186240.0,Micro
ADVB,Advanced Biomed Inc.,Healthcare,Diagnostics & Research,7933224.0,Micro
ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,9843664.0,Micro
AEAQU,Activate Energy Acquisition Cor,,,,Unknown
AEBI,Aebi Schmidt Holding AG,Industrials,Farm & Heavy Construction Machinery,995388736.0,Small
AEC,Anfield Energy Inc.,Energy,Uranium,83698448.0,Micro
AEHL,Antelope Enterprise Holdings Li,Industrials,Building Products & Equipment,6671975.0,Micro
